term_name	p_value	term_size	query_size	intersection_size
regulation of canonical NF-kappaB signal transduction	0.00208462362439024	235	97	8
positive regulation of cytokine-mediated signaling pathway	0.00213086289001322	40	97	4
regulation of response to cytokine stimulus	0.00214688229351568	122	97	6
positive regulation of molecular function	0.00214688229351568	800	97	15
regulation of lymphocyte activation	0.00214688229351568	304	97	9
positive regulation of protein modification process	0.00217587052264691	536	97	12
positive regulation of microglial cell migration	0.00218939718385838	3	97	2
lymphocyte activation	0.0021953035840687	456	97	11
regulation of cell adhesion	0.00219663216836981	538	97	12
T cell mediated immunity	0.0022575695782547	78	97	5
positive regulation of cell communication	0.00237367464291421	1209	97	19
positive regulation of mononuclear cell proliferation	0.00237367464291421	79	97	5
positive regulation of phosphorus metabolic process	0.00238857957589763	463	97	11
positive regulation of phosphate metabolic process	0.00238857957589763	463	97	11
negative regulation of immune system process	0.00239140667064217	312	97	9
positive regulation of signaling	0.00245228668847276	1215	97	19
regulation of response to stimulus	0.00258028332730731	2869	97	33
positive regulation of regulatory T cell differentiation	0.00258028332730731	17	97	3
positive regulation of ERK1 and ERK2 cascade	0.00258028332730731	129	97	6
regulation of apoptotic signaling pathway	0.00264918408865061	249	97	8
response to stimulus	0.00264918408865061	5690	97	53
regulation of ERK1 and ERK2 cascade	0.00279190858557915	188	97	7
positive regulation of response to cytokine stimulus	0.0028293636548387	45	97	4
negative regulation of response to biotic stimulus	0.0028293636548387	84	97	5
negative regulation of response to external stimulus	0.0028293636548387	253	97	8
modulation by symbiont of entry into host	0.0028293636548387	45	97	4
negative regulation of production of molecular mediator of immune response	0.00288417946328568	18	97	3
antiviral innate immune response	0.00300184284299197	46	97	4
regulation of innate immune response	0.0031291656918255	328	97	9
regulation of tyrosine phosphorylation of STAT protein	0.0032190040110965	47	97	4
regulation of protein modification process	0.00322154558296779	846	97	15
type II interferon-mediated signaling pathway	0.00322154558296779	19	97	3
positive regulation of multicellular organismal process	0.00322154558296779	1046	97	17
canonical NF-kappaB signal transduction	0.00322154558296779	260	97	8
myeloid leukocyte differentiation	0.00322154558296779	137	97	6
regulation of myeloid cell differentiation	0.00325623105645898	138	97	6
regulation of leukocyte migration	0.00325623105645898	138	97	6
regulation of microglial cell migration	0.00340170994724431	4	97	2
positive regulation of glial cell migration	0.00340170994724431	4	97	2
microglial cell migration	0.00340170994724431	4	97	2
positive regulation of T cell mediated immunity	0.00342134740311285	49	97	4
regulation of phosphorus metabolic process	0.00342134740311285	761	97	14
tyrosine phosphorylation of STAT protein	0.00342134740311285	49	97	4
