term_name	p_value	term_size	query_size	intersection_size
metabolic process	0.00264322738195681	8420	99	71
positive regulation of developmental process	0.00323512168902187	826	99	15
regulation of protein modification by small protein conjugation or removal	0.00333630529352972	191	99	7
response to endoplasmic reticulum stress	0.00352545755547358	193	99	7
regulation of post-translational protein modification	0.00360744756459116	194	99	7
regulation of molecular function	0.00364941844928012	1343	99	20
regulation of tau-protein kinase activity	0.00368202904118255	4	99	2
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	0.00368202904118255	4	99	2
supramolecular fiber organization	0.00411590675059715	664	99	13
cellular response to topologically incorrect protein	0.00441728807404415	92	99	5
chaperone-mediated protein complex assembly	0.00448992570783552	21	99	3
positive regulation of p38MAPK cascade	0.00448992570783552	21	99	3
transcription by RNA polymerase II	0.00448992570783552	2049	99	26
positive regulation of DNA-templated transcription	0.00470003756853856	1164	99	18
positive regulation of RNA biosynthetic process	0.00486109092896215	1168	99	18
positive regulation of RNA metabolic process	0.00511302084837155	1279	99	19
regulation of protein serine/threonine kinase activity	0.00544548806456478	211	99	7
heat acclimation	0.00550961203578967	5	99	2
protein targeting to vacuole involved in autophagy	0.00550961203578967	5	99	2
cellular heat acclimation	0.00550961203578967	5	99	2
positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	0.00550961203578967	5	99	2
positive regulation of gene expression	0.00556943391283136	786	99	14
negative regulation of protein modification process	0.0056650765299535	282	99	8
cellular response to chemical stress	0.00578058875275428	215	99	7
extrinsic apoptotic signaling pathway via death domain receptors	0.00582674286257011	56	99	4
positive regulation of transforming growth factor beta receptor signaling pathway	0.00596452953214414	24	99	3
positive regulation of cellular response to transforming growth factor beta stimulus	0.00596452953214414	24	99	3
modification-dependent protein catabolic process	0.00596452953214414	523	99	11
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	0.00596452953214414	24	99	3
extrinsic apoptotic signaling pathway	0.00624718268742175	157	99	6
modification-dependent macromolecule catabolic process	0.00625529940283684	527	99	11
regulation of extrinsic apoptotic signaling pathway	0.00630095592009848	103	99	5
positive regulation of cell communication	0.00643982112244086	1209	99	18
regulation of protein catabolic process	0.00659509623704268	292	99	8
regulation of cyclin-dependent protein kinase activity	0.00662939468472032	59	99	4
positive regulation of signaling	0.00669097493453092	1215	99	18
regulation of catabolic process	0.00692495526432488	812	99	14
response to growth factor	0.00723151612015833	455	99	10
telomerase holoenzyme complex assembly	0.00723151612015833	6	99	2
negative regulation of protein ubiquitination	0.00723151612015833	61	99	4
positive regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	0.00723151612015833	6	99	2
proteolysis involved in protein catabolic process	0.007270041070857	631	99	12
positive regulation of nucleobase-containing compound metabolic process	0.007270041070857	1447	99	20
regulation of cellular component biogenesis	0.007270041070857	724	99	13
regulation of proteasomal protein catabolic process	0.00734256655028764	165	99	6
protein phosphorylation	0.00764415875791886	924	99	15
regulation of catalytic activity	0.00785767715245867	829	99	14
intracellular signaling cassette	0.00785767715245867	1349	99	19
regulation of protein phosphorylation	0.00785767715245867	639	99	12
regulation of JNK cascade	0.0078757384598112	111	99	5
transforming growth factor beta receptor superfamily signaling pathway	0.00859624801640028	237	99	7
cellular response to oxidative stress	0.00912499726288192	174	99	6
regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	0.00912499726288192	7	99	2
regulation of MHC class I biosynthetic process	0.00912499726288192	7	99	2
MHC class I biosynthetic process	0.00912499726288192	7	99	2
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	0.00981465760494194	68	99	4
regulation of translational initiation	0.00981465760494194	68	99	4
negative regulation of protein modification by small protein conjugation or removal	0.00981465760494194	68	99	4
regulation of p38MAPK cascade	0.010565973132845	31	99	3
positive regulation of protein polymerization	0.010691530584133	70	99	4
negative regulation of post-translational protein modification	0.010691530584133	70	99	4
erythrocyte differentiation	0.010691530584133	70	99	4
cell surface receptor protein serine/threonine kinase signaling pathway	0.0109375816715461	250	99	7
erythrocyte homeostasis	0.0111467729560697	71	99	4
positive regulation of extrinsic apoptotic signaling pathway	0.0111470139884761	32	99	3
regulation of erythrocyte differentiation	0.0111470139884761	32	99	3
positive regulation of microtubule nucleation	0.0112998876127271	8	99	2
RNA catabolic process	0.0116579214995854	254	99	7
positive regulation of JNK cascade	0.0118322679151243	73	99	4
protein stabilization	0.0118322679151243	186	99	6
homeostasis of number of cells	0.0118322679151243	125	99	5
regulation of response to endoplasmic reticulum stress	0.0118322679151243	73	99	4
regulation of phosphorylation	0.0121129694962878	683	99	12
negative regulation of gene expression	0.0122195779732163	781	99	13
regulation of proteolysis involved in protein catabolic process	0.0131660660947843	191	99	6
regulation of biological quality	0.0136204034713845	1778	99	22
positive regulation of tumor necrosis factor-mediated signaling pathway	0.0136267470910543	9	99	2
aggrephagy	0.0136267470910543	9	99	2
regulation of cellular component organization	0.0137030930477823	1781	99	22
regulation of developmental process	0.0139902586860904	1551	99	20
phosphorylation	0.0140595784135074	1001	99	15
signal transduction by p53 class mediator	0.0147798721870064	133	99	5
JNK cascade	0.0151984769119278	134	99	5
nucleic acid catabolic process	0.0152049258810871	270	99	7
positive regulation of signal transduction	0.0152546071055759	1118	99	16
negative regulation of protein kinase activity	0.0153881351635806	135	99	5
regulation of signal transduction by p53 class mediator	0.0153881351635806	80	99	4
regulation of cell population proliferation	0.0157115265455488	1016	99	15
regulation of protein stability	0.0157883754772399	273	99	7
regulation of protein complex stability	0.0159508637509377	10	99	2
negative regulation of cell growth	0.016092841648358	137	99	5
cellular response to growth factor stimulus	0.0162457931519561	438	99	9
myeloid cell homeostasis	0.0163296312997319	82	99	4
positive regulation of cell differentiation	0.0163994225401324	528	99	10
positive regulation of apoptotic signaling pathway	0.0169087797647665	83	99	4
negative regulation of response to endoplasmic reticulum stress	0.0170115267140483	39	99	3
regulation of ubiquitin-dependent protein catabolic process	0.0171882774735184	140	99	5
mRNA catabolic process	0.0175455574571722	207	99	6
cell migration	0.0175455574571722	1033	99	15
p38MAPK cascade	0.017960364325146	40	99	3
negative regulation of kinase activity	0.0190746141292278	144	99	5
proteasomal protein catabolic process	0.0191711116868165	452	99	9
cell population proliferation	0.0200041104397747	1158	99	16
long-term synaptic potentiation	0.0211290051221733	43	99	3
microtubule-based protein transport	0.0211290051221733	12	99	2
protein transport along microtubule	0.0211290051221733	12	99	2
