term_name	p_value	term_size	query_size	intersection_size
regulation of cytoskeleton organization	0.0161977112224249	411	96	9
regulation of intrinsic apoptotic signaling pathway	0.0171238097955624	124	96	5
positive regulation of plasminogen activation	0.0173477569625342	8	96	2
sequestering of actin monomers	0.0173477569625342	8	96	2
negative regulation of stress-activated protein kinase signaling cascade	0.0173477569625342	8	96	2
maintenance of protein location	0.0175422423861591	73	96	4
hydrogen peroxide metabolic process	0.0194486861749464	34	96	3
negative regulation of intrinsic apoptotic signaling pathway	0.0208697947788623	77	96	4
positive regulation of DNA binding	0.0208697947788623	35	96	3
membrane raft assembly	0.0212899642755737	9	96	2
regulation of body fluid levels	0.0224518804765614	199	96	6
regulation of cell motility	0.0224927261372592	718	96	12
mitochondrion organization	0.0232388693556317	354	96	8
regulation of catalytic activity	0.0246761365856353	829	96	13
positive regulation of supramolecular fiber organization	0.0247050461075707	138	96	5
regulation of locomotion	0.0271523029180004	737	96	12
protein-containing complex organization	0.027199367996993	1393	96	18
Arp2/3 complex-mediated actin nucleation	0.0285854470739731	40	96	3
cell activation	0.0293221936443709	648	96	11
organelle organization	0.0293221936443709	2926	96	30
regulation of cellular response to hypoxia	0.0293221936443709	11	96	2
positive regulation of cytoskeleton organization	0.0293221936443709	145	96	5
regulation of actin filament polymerization	0.0293221936443709	87	96	4
negative regulation of actin filament polymerization	0.0293317349018404	41	96	3
cellular detoxification	0.0312162908187264	42	96	3
maintenance of location in cell	0.031788835103906	149	96	5
reactive oxygen species metabolic process	0.0324896971762568	150	96	5
regulation of proton transport	0.0335378254265868	12	96	2
mitochondrial respiratory chain complex assembly	0.0372119409070943	94	96	4
negative regulation of apoptotic signaling pathway	0.0376896747749428	156	96	5
cellular response to toxic substance	0.0388313253024765	46	96	3
actin nucleation	0.0435479894608215	48	96	3
positive regulation of cytoplasmic translation	0.0442714374934395	14	96	2
regulation of actin polymerization or depolymerization	0.0462395119527403	101	96	4
cellular response to reactive oxygen species	0.0462395119527403	101	96	4
negative regulation of protein-containing complex assembly	0.0475768287969621	102	96	4
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	0.0488311106432885	15	96	2
regulation of plasma membrane organization	0.0488311106432885	15	96	2
regulation of actin filament length	0.0488311106432885	103	96	4
