term_name	p_value	term_size	query_size	intersection_size
microtubule-based process	1.45809994107593e-07	774	99	21
recombinational repair	1.47478971756095e-07	173	99	11
cell division	5.37363878045083e-07	244	99	12
positive regulation of cytokinesis	5.41985363839748e-07	32	99	6
mitotic cytokinesis	6.27314744312876e-07	83	99	8
positive regulation of mitotic sister chromatid separation	1.21553574772598e-06	19	99	5
DNA recombination	1.33395220662465e-06	266	99	12
positive regulation of cell division	1.81656847171164e-06	39	99	6
DNA unwinding involved in DNA replication	2.01529190624316e-06	21	99	5
regulation of mitotic spindle checkpoint	2.01529190624316e-06	21	99	5
regulation of mitotic cell cycle spindle assembly checkpoint	2.01529190624316e-06	21	99	5
positive regulation of organelle organization	2.05754465731004e-06	395	99	14
regulation of cell cycle checkpoint	2.37321706320985e-06	41	99	6
cytoskeleton-dependent cytokinesis	3.93797244292957e-06	106	99	8
mitotic spindle midzone assembly	5.47467287310469e-06	11	99	4
positive regulation of mitotic cell cycle spindle assembly checkpoint	7.97303102388229e-06	12	99	4
mitotic spindle elongation	7.97303102388229e-06	12	99	4
spindle midzone assembly	7.97303102388229e-06	12	99	4
sister chromatid cohesion	8.59812726949744e-06	51	99	6
positive regulation of spindle checkpoint	1.11881187831127e-05	13	99	4
spindle elongation	1.11881187831127e-05	13	99	4
protein-DNA complex assembly	1.21956888378085e-05	168	99	9
negative regulation of cellular component organization	1.24859124925318e-05	533	99	15
negative regulation of G2/M transition of mitotic cell cycle	1.61543192383724e-05	57	99	6
negative regulation of cell cycle G2/M phase transition	1.97030127002755e-05	59	99	6
regulation of ubiquitin protein ligase activity	2.01919221133451e-05	15	99	4
DNA strand elongation involved in DNA replication	2.01919221133451e-05	15	99	4
kinetochore organization	2.65911950213626e-05	16	99	4
protein-DNA complex organization	2.93688073032901e-05	188	99	9
positive regulation of cell cycle checkpoint	4.36219486843904e-05	18	99	4
mitotic spindle assembly	4.3711056533518e-05	68	99	6
cell cycle DNA replication	4.41379679411528e-05	39	99	5
positive regulation of nuclear division	4.98291288948541e-05	40	99	5
DNA duplex unwinding	8.0038994864985e-05	44	99	5
positive regulation of mitotic cytokinesis	8.04964642538131e-05	7	99	3
regulation of attachment of spindle microtubules to kinetochore	8.04964642538131e-05	21	99	4
chromatin remodeling at centromere	8.04964642538131e-05	7	99	3
CENP-A containing chromatin assembly	8.04964642538131e-05	7	99	3
centromere complex assembly	8.04964642538131e-05	21	99	4
mitotic DNA integrity checkpoint signaling	9.14574092837196e-05	78	99	6
DNA integrity checkpoint signaling	0.000100481360991273	120	99	7
mitotic G2/M transition checkpoint	0.000105315060528783	47	99	5
chromatin organization	0.000117436613489045	492	99	13
DNA geometric change	0.000171322237264331	52	99	5
cellular response to stress	0.000171322237264331	1420	99	23
positive regulation of ubiquitin protein ligase activity	0.000182554192876567	9	99	3
meiotic cell cycle process	0.000218179539528033	136	99	7
positive regulation of cellular process	0.000220076638262986	4241	99	46
regulation of mitotic cytokinesis	0.000254542251512125	10	99	3
mitotic sister chromatid cohesion	0.000279632024466738	29	99	4
establishment of mitotic spindle orientation	0.000319040361021157	30	99	4
DNA conformation change	0.000329108357000243	60	99	5
positive regulation of attachment of spindle microtubules to kinetochore	0.000339575705559511	11	99	3
mitotic G2 DNA damage checkpoint signaling	0.000353220843884454	31	99	4
regulation of ubiquitin-protein transferase activity	0.000353220843884454	31	99	4
regulation of cellular process	0.000353220843884454	8148	99	71
cytoskeleton organization	0.000449520196674854	1206	99	20
positive regulation of mitotic nuclear division	0.000506832269202202	34	99	4
establishment of mitotic spindle localization	0.000555836557929219	35	99	4
mitotic DNA replication	0.000555836557929219	13	99	3
establishment of spindle orientation	0.000555836557929219	35	99	4
nuclear DNA replication	0.000555836557929219	35	99	4
spindle assembly	0.000619074944216754	112	99	6
DNA strand elongation	0.000686165547266546	37	99	4
kinetochore assembly	0.000686746594378071	14	99	3
mitotic DNA damage checkpoint signaling	0.000831378318308642	74	99	5
positive regulation of mitotic metaphase/anaphase transition	0.00083969547904971	15	99	3
positive regulation of metaphase/anaphase transition of cell cycle	0.00083969547904971	15	99	3
positive regulation of biological process	0.000872255968087118	4486	99	46
meiotic cell cycle	0.000906658111044671	174	99	7
positive regulation of exit from mitosis	0.000928279630234779	3	99	2
positive regulation of DNA metabolic process	0.000979901377962281	237	99	8
regulation of transferase activity	0.000992279620351752	452	99	11
centrosome cycle	0.00102072923278521	124	99	6
membraneless organelle assembly	0.0011613009407284	311	99	9
