genes	logFC	logCPM	F	PValue	FDR
CSF2	7.17248408441011	-0.0912976298605112	670.159864283028	5.22953799883669e-25	5.37219734847359e-21
TNFRSF11B	3.97718073487392	0.947602863410029	498.079251028676	8.16823164016241e-25	5.37219734847359e-21
IGFL1	5.81921167646641	-0.429292199129172	436.456919344472	9.79672484676966e-25	5.37219734847359e-21
BCL2L15	3.53255179752254	5.00765998392785	666.590848769157	2.35800473132929e-24	9.69788395877454e-21
GALNT5	4.36380344903123	2.16316015030523	476.921554329814	1.93437076068607e-23	6.36446667680929e-20
GLIPR1	3.98866323157546	1.74433247331546	434.705523036811	1.74693191704872e-22	4.78979616122808e-19
RAET1L	4.0858516751881	0.34053058355817	346.196113953296	2.47369892331648e-22	5.81354585535421e-19
ACTBL2	3.29536035924789	-0.923256851498412	231.274477342959	3.51758007782884e-21	7.04673413341759e-18
CXCL5	4.16718042214532	9.76713652917818	424.462727479063	3.85512170693321e-21	7.04673413341759e-18
IL19	5.56106695560306	2.77912636756735	301.83916587647	7.71408323196474e-21	1.26904383249052e-17
DKK1	4.05866841423056	5.03572388839744	402.219793603356	9.715422784812e-21	1.45298563848129e-17
CXorf49	4.37632673055537	1.8280578430317	326.082367359749	1.56672414221525e-20	2.14784823863192e-17
EDAR	3.42021744831727	2.07395172041662	381.054130059272	2.50618900422061e-20	3.17148579295641e-17
PTGES	2.90422607434435	4.17527829812519	369.751779405128	3.59634039158209e-20	3.96609729910733e-17
NALCN	2.90002047612774	-0.371280025066412	267.015480110722	3.61628226166251e-20	3.96609729910733e-17
MAL2	1.67596630140256	8.04432266673075	319.83541689242	3.57601130521153e-19	3.67681012387718e-16
TUBB2A	2.03413158476599	4.90176614779621	315.521026048493	4.4370609631517e-19	4.06340010343982e-16
CXCL6	4.26448213612221	4.3600547395638	316.103614216718	4.44600339565478e-19	4.06340010343982e-16
LINC00973	3.34663270449895	-0.444582500129051	157.49963917095	7.2278231776495e-19	6.25815363660589e-16
RP11-402P6.12	4.82340576491058	-0.772197738370459	203.812444522089	1.06453531061298e-18	8.75633519744709e-16
NCEH1	1.6635372295631	4.62645038256864	295.721518748399	1.23062228016898e-18	9.47352162010006e-16
KRT6A	4.84057317732763	4.15537273924863	296.647566147293	1.26689852071121e-18	9.47352162010006e-16
FUT2	2.1894447658767	4.4399963258366	290.653748850787	1.61589533760943e-18	1.1557867043049e-15
EMP3	2.67071979540126	3.73564223370934	284.94897963266	2.40431997582518e-18	1.58947732744552e-15
SH2D5	2.73106198310117	0.00315512838479879	271.4060703044	2.41547220145511e-18	1.58947732744552e-15
CXCL2	3.11280957092181	5.30228682744442	279.922146926101	2.90902745690687e-18	1.84063118052211e-15
WFDC21P	3.33964313229373	0.944172864258157	225.477982435191	3.1659377192085e-18	1.92899412661848e-15
KRT78	2.70905718255234	0.0460074732073531	259.018014865092	4.42940912644231e-18	2.60243605496795e-15
FGF2	3.48270455273826	1.12817096937664	245.496035030242	4.78571169908148e-18	2.71481872970998e-15
CXCL3	3.28539059175786	6.44575333916934	267.812354251073	5.77505211550633e-18	3.16684607840649e-15
FLNC	2.99979588439867	1.83641636928263	264.590026841406	8.15952866704225e-18	4.33007761617781e-15
GPATCH4	1.72018051540006	4.81316806809508	252.614173226329	1.42799181939451e-17	7.34121669401845e-15
ITGBL1	2.64538651964604	1.03509582463611	211.450367819598	1.66153964820545e-17	8.28302689473569e-15
DEFB4A	4.79639564690194	1.8171196768684	201.916183846063	2.41871000874045e-17	1.17029995158203e-14
SPHK1	2.36480778486114	1.8085567259335	240.25732264855	3.27318362585192e-17	1.53848982368257e-14
GAL	3.45108404663659	1.67618320939927	239.062371510454	3.6985468551215e-17	1.69013317537788e-14
CA2	2.47362549427803	2.07466967990454	238.606942591864	4.07099274791124e-17	1.78114936733055e-14
ALDH1A3	2.14877619973424	4.01382238478137	235.790064994686	4.11425906987788e-17	1.78114936733055e-14
CXCL10	3.64479410336227	5.40546753914723	205.457567549613	4.46006601776145e-17	1.88134733482548e-14
CYCS	1.58413756265838	6.5893503638119	233.813916997652	4.6684775105558e-17	1.92002808815384e-14
ATP1B3	1.45799111377205	6.36465114329208	222.125934300103	1.01882741203276e-16	4.08798286715876e-14
RP11-817J15.2	2.56233266612429	-0.431122274631721	145.960466182597	1.1331521360604e-16	4.43844899769751e-14
MAPRE2	1.63388147099041	3.31550044490445	216.76416474083	1.48084084578765e-16	5.59985916106549e-14
TMX2	1.18574549204802	5.90111812237219	216.546116221504	1.49774362097673e-16	5.59985916106549e-14
CTSE	2.09668396559656	5.87210342417554	214.703773437852	1.71495698104928e-16	6.26950162116483e-14
IL10	2.90349292197538	-0.103381261649133	163.656683548101	2.13787363180276e-16	7.47519390603552e-14
IL23A	3.15738800240223	2.44989411132907	200.683250323913	2.17263953496602e-16	7.47519390603552e-14
RPS6KA4	1.59363307854753	4.99511786027877	211.228280656607	2.1810790072926e-16	7.47519390603552e-14
SLC52A2	1.23358972116005	6.00598496616512	209.65811360555	2.43910136376235e-16	8.18890949699071e-14
ABCA12	2.52531116243213	3.61387825841456	208.771474977795	2.64054815613968e-16	8.44946574673629e-14
NEURL3	3.17471993790255	1.46600574973344	175.482076815886	2.66832952814808e-16	8.44946574673629e-14
GRHL3	2.37668941161072	2.09188300113204	209.184245835767	2.67079337930999e-16	8.44946574673629e-14
KRT13	3.32370028269675	4.94703848257164	207.864469823359	2.79891226268326e-16	8.68771804403817e-14
TUBA1C	1.65848226153701	8.77903886872383	205.258347370864	3.35456760104995e-16	1.02196280749764e-13
NTRK2	2.70747713368029	3.08019806860349	204.460804665862	3.5985821776899e-16	1.07636864373048e-13
FGFBP1	2.08580896116883	7.49721629277567	203.756991565241	3.74610162268958e-16	1.1004842463369e-13
SBDS	1.0699159817687	5.54567841361444	198.119735426277	5.69977412756925e-16	1.61892013125884e-13
CEACAM5	3.929415013234	4.5354969931861	188.027337401186	5.74298889484442e-16	1.61892013125884e-13
IFRD2	1.35984653802147	5.76576469984382	197.874608639443	5.8061083061377e-16	1.61892013125884e-13
LY6K	2.45936364970187	-0.359867565977881	169.273081122239	6.38105854357414e-16	1.7427708925861e-13
DMBT1	3.2951631387121	1.37767577860897	162.642970241165	6.4621618410888e-16	1.7427708925861e-13
RAB5IF	1.15599203609316	5.96739378500783	194.466445551408	7.52200227023519e-16	1.99587837657483e-13
