genes	logFC	logCPM	F	PValue	FDR
TGM5	4.95233417692775	2.75560142877182	935.374344672198	6.41604419860827e-30	1.05550343111305e-25
COL23A1	4.54372198231779	2.88365852085713	546.34245066011	8.19304852388877e-27	6.7391920633247e-23
NDUFA4L2	4.48403516682712	5.56282124910792	589.111236188387	3.52804254048872e-25	1.934660927786e-21
PRDM16	5.10687395423715	2.15123009772657	400.715016400179	1.15013993837698e-24	4.73023803155994e-21
PDE4C	4.71381956890346	0.650129359476618	364.157844999733	5.71923882700748e-23	1.881743958862e-19
PNCK	4.79782165268171	3.52427714266772	399.859974236402	7.82152860360608e-23	2.14453278429873e-19
ZMIZ1-AS1	3.65967160994145	-0.512291417086411	258.406721052554	1.06878136148351e-22	2.51178888253789e-19
RP5-1120P11.3	6.1452551657712	1.16598130299993	508.018030915092	2.77156648355922e-22	5.6993800276291e-19
LRRC32	3.93201790612607	4.5915808875417	492.025109052093	3.55908488906385e-22	6.29295529036445e-19
FBXO32	3.05306725791934	3.09739203020212	494.275061750195	3.82527219644061e-22	6.29295529036445e-19
TMEM74B	4.18398337278042	1.8392005070177	318.979422672468	5.34009139821504e-22	7.98634941745779e-19
LINC02649	3.49881841150805	0.789474610404058	280.531651083079	6.13263173167576e-22	8.40732705148317e-19
CARNS1	3.27554002218733	1.80283889865947	438.742038654326	1.01365637613463e-21	1.28274315721467e-18
PLCH2	4.09967605366827	3.93332775936436	462.345916888257	1.14120117212108e-21	1.34099289161171e-18
RP11-116O18.4	3.5896571535377	-0.584514799934378	225.090950974451	7.91210217213234e-21	8.67746618891661e-18
HIF1A-AS3	3.00811467980669	0.369196784093106	330.260980871073	9.44650929773398e-21	9.71278277856386e-18
NFATC4	3.87817539884109	4.57286830091326	396.211206089174	1.29082076847901e-20	1.24913485072048e-17
FBXL16	3.33665238425619	1.10239652247714	289.229666171553	1.57155803923288e-20	1.43631673907889e-17
RP11-116O18.3	3.46117048213528	-0.579993120968342	225.742038191884	1.80262375487872e-20	1.48400270518312e-17
KRT42P	3.317371623407	0.223516025404917	239.520606414873	1.87014874303474e-20	1.48400270518312e-17
RP11-118K6.5	3.96696578841149	1.49227892677362	283.349541527052	1.89435638008908e-20	1.48400270518312e-17
PAX2	2.58426598220476	5.1581456071573	382.396814289442	2.09930947721394e-20	1.56980637316575e-17
DBP	2.97955238415607	4.28053873266326	370.293482515328	3.5043497653646e-20	2.50652426043535e-17
TGM7	3.53347017403441	2.02890314347125	337.364851422401	4.06009225018484e-20	2.7345251141755e-17
B4GALNT1	3.62476602625042	-0.325360611454089	234.699206536113	4.15556062576059e-20	2.7345251141755e-17
SLC2A1-AS1	2.44592050088124	2.32037406059113	364.480561358747	5.04166840086252e-20	3.19001872548421e-17
KISS1R	3.80970066460712	2.15941412248189	344.789714396667	6.05508122545013e-20	3.68933856444e-17
MMEL1	2.88879667467503	4.61258964681417	348.15127768	9.36725601098668e-20	5.50359745131221e-17
ULK1	1.53200515550887	5.65275086007599	345.557013785421	1.04852417486458e-19	5.94802455196453e-17
PFKP-DT	3.23130750902678	-0.189194210837669	236.707209909716	1.36264068450963e-19	7.47226730028931e-17
SLC14A1	3.6253834849033	3.62626891918992	331.542836654376	2.48059007847847e-19	1.31639314132417e-16
SAP30-DT	2.57599837074983	1.79227311751514	326.141544138015	2.6545307231797e-19	1.36467765396966e-16
LINC02656	3.47215882246483	-0.101154509738801	178.566312032225	2.92853038121882e-19	1.45991676671003e-16
MSLNL	3.8406830300555	0.170324235624776	163.037718977497	4.13794832923467e-19	2.00215846953646e-16
PCAT6	2.66450600820729	3.56554683108969	306.526794789722	7.15309654702824e-19	3.32666530529259e-16
CA9	4.12204950682772	4.65425060084261	235.436597880954	7.2797976409053e-19	3.32666530529259e-16
TMEM61	2.78072314040156	1.74256004064061	270.220328550424	1.58514526462013e-18	6.96858454373429e-16
PRIMA1	2.87265910533532	0.53353513677012	237.60563424584	1.60966635865238e-18	6.96858454373429e-16
CD300A	4.27670924871016	0.819343522328645	272.812582976465	1.81073374439724e-18	7.6380463664305e-16
LMNTD2-AS1	3.7977707894078	5.51648747653451	288.076392864179	1.87902171517077e-18	7.72794655906858e-16
LLNLR-225F10.1	3.29656807986418	2.98090228015084	288.048512544916	2.07856113874064e-18	8.34009982766395e-16
TCEA3	2.73815101276272	2.08712739859183	281.476722708453	2.3981257803312e-18	9.39323028862586e-16
RP11-1029J19.4	2.71895711891884	2.08209197809126	220.605979184223	2.58182821319178e-18	9.70111571008312e-16
ITGA2B	3.11007560702226	0.40869648076114	253.047497328984	2.59466957172e-18	9.70111571008312e-16
SEMA5B	3.98807093563999	-0.75734398513462	201.966163659171	3.32979437011533e-18	1.21729882628372e-15
MROH7	3.9709166175885	0.381656169127807	164.273556985055	3.63539391419764e-18	1.30012750614055e-15
EFNA3	1.98762966760331	3.00512801299261	275.249183959099	3.8206588201777e-18	1.3371061383749e-15
RP11-16E12.2	3.04272579105141	-0.333727272657212	220.950791564592	3.901349136344e-18	1.3371061383749e-15
ANGPTL4	3.94564170796941	5.22198383346598	274.31098999175	4.17408745734234e-18	1.40138597470896e-15
PCP2	3.43579269911899	1.43681073116114	238.189239478111	4.77025967533726e-18	1.56951083837947e-15
NXPH4	2.80300424765258	4.09830933072809	270.556959157401	5.07669774306783e-18	1.63758342296488e-15
PIP5KL1	1.86255951352332	2.40442495943572	266.050502299712	6.60722490577696e-18	2.09029724855648e-15
TSNARE1	1.79255529641329	3.57913634791165	264.467082676343	7.03931711585039e-18	2.18497746929915e-15
NOL3	2.01628835610571	5.5056233161178	259.659914745534	9.32396304106347e-18	2.80150726185844e-15
SULT1A1	1.86617303188177	5.60707407760305	259.587552946294	9.36617223282563e-18	2.80150726185844e-15
FGD5	4.27654059612104	-1.089355831103	177.536119995932	1.06775675917581e-17	3.1367261509288e-15
LINC01844	4.01934280764784	-0.9695762427276	169.725002564112	1.09796901454523e-17	3.16889267689185e-15
CACNB3	1.44759190118612	4.98753605209656	254.908344256136	1.24019788258002e-17	3.47282110687009e-15
SGIP1	2.8820368040357	-0.259166958066984	181.295414754991	1.24549538207608e-17	3.47282110687009e-15
ABTB1	2.04256845366742	4.55367226787739	253.558789207744	1.34799525889409e-17	3.69597833401111e-15
ADM	2.84300433142516	6.02118271997267	253.314978562266	1.37064967979212e-17	3.69648489873117e-15
VEGFA	2.51199979434801	8.5250129151138	250.491429727303	1.62255596014196e-17	4.30526904843473e-15
PLXNB3	2.56833448469712	3.11725780540961	250.329736928261	1.66450812545985e-17	4.3464798685619e-15
PGF	2.93246755263012	0.785310885267183	241.255187346636	1.74215391725181e-17	4.42854185220802e-15
HIF3A	3.20806994179366	4.22767231240501	250.373087059152	1.74977339002809e-17	4.42854185220802e-15
AC005077.14	2.46207631414477	3.2344314073343	249.279105709218	1.8015617786293e-17	4.49052921518646e-15
AHNAK2	2.26509678303321	5.72717773946676	247.471579578514	1.95861398329431e-17	4.75349921195248e-15
INHA	3.3249084187426	2.00401036108921	250.349609404136	1.9648528746749e-17	4.75349921195248e-15
OLFM2	2.10691031639019	4.06215477450319	245.767951838008	2.19165843794449e-17	5.18004866619032e-15
CNTNAP1	2.61678471299546	3.60555387280611	246.059464820455	2.20414203776866e-17	5.18004866619032e-15
COPG2IT1	2.97690182922591	1.75241967822933	244.460742792545	2.34108639139607e-17	5.42439608800799e-15
AC007405.8	2.77370620550915	1.81177889826871	223.42400675449	2.48074561465168e-17	5.66815918147705e-15
RP11-20G13.1	2.60450314287232	3.51979664789046	243.791264596095	2.51539399512218e-17	5.66859542654179e-15
CASKIN1	3.18481231764061	3.25777042916386	242.579099768714	2.94933938923728e-17	6.55670030977601e-15
SPIRE2	1.89281834335023	4.64879857522485	240.314040476849	3.07492259436883e-17	6.74474021332822e-15
SERHL	2.89567109090196	0.953162192474581	240.309483053757	3.19460205536209e-17	6.91505242273181e-15
EFEMP2	3.14985155725714	3.7823909826559	240.708830166906	3.26347347328529e-17	6.97238988428782e-15
PCOLCE	2.63589583709684	2.5094410657203	239.193218174287	3.55841802637338e-17	7.50506858357289e-15
RP3-395M20.12	2.82266509896462	3.57135940221562	237.87365012739	3.70092296437153e-17	7.70682071985772e-15
GPR146	2.83354419357371	1.27016231247866	214.247906907348	4.07665569032333e-17	8.38313284518864e-15
LINC01267	3.10720393679018	0.0599806129901567	180.938091848886	5.02238046147999e-17	1.02003927125688e-14
TNFRSF14	1.91199626213388	6.51029662868346	230.215026606044	5.91487682786425e-17	1.1866541304292e-14
COL6A2	2.77748831551619	5.76085797460197	227.496989729413	6.49204362812341e-17	1.2867543340513e-14
