genes	logFC	logCPM	F	PValue	FDR
KRT4	6.6379729971301	1.46726273899429	1416.53711740591	6.95029332502312e-41	1.14339275489955e-36
CALCA	6.55089466117472	1.69206122375398	1132.50484858247	1.87054276691473e-37	1.53861495292571e-33
PLXNA4	6.86691628528116	3.5815886825563	1126.60756405568	1.93884059455359e-33	1.06319555403337e-29
LGI2	4.73561933815412	-0.556355197980021	622.754451644876	7.72035395863522e-32	3.1751885743377e-28
SHISA3	4.91360770525297	0.592526805895183	813.965254120225	1.09569610502686e-31	3.60505932475937e-28
FBN2	3.71556735719313	5.69229406869563	1222.45366885305	8.54271966979302e-29	2.34227135479608e-25
TGFB2	3.30727582076501	4.26743167238804	885.012399469882	2.0319548339685e-26	4.77538413908797e-23
PRKCB	3.81284176372113	0.636518157289222	682.47062315432	4.15151304652253e-26	8.53706764104277e-23
GFRA1	6.25067870743397	4.43634777005901	848.244535749476	5.18013036271358e-26	9.46870273300011e-23
COL26A1	3.81021168788372	0.779634705459181	741.022496817826	8.20928192756391e-26	1.35050896990354e-22
LINC02418	3.69677662311622	1.95807221764704	625.734492044801	7.50011247757005e-25	1.12167591244095e-21
SSTR1	4.93801750905551	1.1001614894309	443.892434782796	1.12390124450545e-24	1.54077494777993e-21
NPNT	3.15073300996509	3.68029520449356	604.74237019747	1.18086913869543e-23	1.49434447697527e-20
EVC	2.71575624920768	3.33403175246304	596.977146131593	1.46145032608867e-23	1.71730852246319e-20
RASL10B	3.89559830937135	0.0657258074436031	450.745495597415	2.12155843218507e-23	2.32678385119177e-20
HEG1	2.19474272781445	3.40999130818536	575.937247314381	2.63560935979858e-23	2.7099005986279e-20
ABLIM1	2.32645191128511	7.7320626646628	553.415653360599	5.0561269056141e-23	4.89284374848574e-20
FAM124A	3.30710944059484	-0.560157007247483	315.542405772929	6.08057359763652e-23	5.55730645859547e-20
NCAM1	2.33482836575251	4.84960817713611	543.349140378438	6.85243051131068e-23	5.93312286008274e-20
MAP3K21	2.10695985788554	4.64962160485418	534.99901494714	8.83967223603578e-23	7.27107239775123e-20
EFEMP1	2.58530289920352	4.45066193851481	523.047979790931	1.28272901447402e-22	1.00486547700533e-19
TIAM1	1.77927004715963	5.00776408106752	503.17970638199	2.41613687951842e-22	1.80672126386171e-19
LMO3	3.29830424658328	2.8905190641645	483.853541078515	4.92599604283095e-22	3.52337221307008e-19
NAT8L	2.74104343098472	1.92184919168738	476.881688800968	6.19657557759666e-22	4.24749436779345e-19
BGN	4.55344504450982	-0.585094023551207	350.10097177195	7.74823216251284e-22	5.09864669221995e-19
SEMA3D	4.36428212658637	3.80561884956848	465.934601300393	8.7030984660816e-22	5.31823498160186e-19
SLC1A1	2.22145392816729	4.34558369856558	465.184520980021	8.7284872958027e-22	5.31823498160186e-19
ST6GAL2	3.15649833094395	2.17785576256482	463.933849476998	9.77974405324489e-22	5.7459489078547e-19
TRHDE	3.09636022951575	0.418081275786948	305.163766950813	1.34491843684952e-21	7.62939765676258e-19
CYP2B6	4.12794672670849	-0.232921673246852	251.742281858515	1.56882261913541e-21	8.60290030246556e-19
NEDD9	2.4302586518449	6.75358685169375	444.852287594978	1.80133064831326e-21	9.55925499851658e-19
FLRT3	3.16720734694225	2.80729826580733	443.009083343907	1.9676992097323e-21	1.01158186560331e-18
EVA1C	-3.72720799782634	4.3463526972192	425.311786076817	3.76609823550179e-21	1.83636213264395e-18
ALDH1A1	2.64899022588608	7.68374798772789	424.87298045159	3.7952898006136e-21	1.83636213264395e-18
ERMP1	1.73874601823582	6.50100224352645	423.687212126862	3.97099435295338e-21	1.8664808028696e-18
SAMD5	4.01426426731438	1.59416685959875	362.531079172061	4.12951121484085e-21	1.88707191653741e-18
PTPN14	1.99341635650448	6.03146714744265	411.198516401266	6.44185654297147e-21	2.86418870238983e-18
LRRTM1	2.98737444811541	2.76181136436916	411.557653693958	6.78860815518471e-21	2.93893138844589e-18
RASSF10	2.33573070442026	4.30675204564693	403.44320097226	8.77935766535932e-21	3.70331315263657e-18
PGM5	2.8244497604454	3.87065338069329	384.000406921615	1.94913429050415e-20	8.01630205327095e-18
KIRREL1	2.19728304140574	5.6192049292157	380.694309229382	2.22957128565891e-20	8.94601883423772e-18
RP11-566E18.1	2.92667719974376	-0.0537756316605672	354.012616961446	2.97223205588051e-20	1.16419498931643e-17
HMCN1	3.84767699799927	0.943512730616646	331.728131421488	4.58936064589072e-20	1.75580399966391e-17
IFI27	-7.10749844607358	8.42560693937233	356.306501458743	6.52623080486643e-20	2.43775492741147e-17
NID1	3.37280749507399	0.705232580491111	344.88830180582	6.66822513728747e-20	2.43775492741147e-17
NOTCH1	1.24547844656736	5.96104699019463	352.105276525478	7.77218577072837e-20	2.77957017639679e-17
SLC38A4	3.05206291227418	0.650452637489259	343.932781808417	1.35850439346564e-19	4.75505442061771e-17
FRAS1	1.97787489030306	5.92016701934321	338.527250315041	1.45393210541455e-19	4.9830493887864e-17
ANGPTL2	3.97046642748844	0.30575728180382	342.5765164872	1.5840723211809e-19	5.3182803583157e-17
ROR1	3.26771677063639	1.11537664605922	334.205466521139	1.80320815648658e-19	5.92042805588232e-17
P3H2	2.3458229849111	2.71617318336523	333.864825762624	1.83540107501063e-19	5.92042805588232e-17
B3GALT1	3.39071522057851	0.686294347743126	327.974976217512	1.89789339786102e-19	6.004277747733e-17
CTDSPL	1.63472363363077	5.12829974050512	332.488458832018	1.93539943797487e-19	6.00740682153294e-17
CDH2	2.10447219982685	5.70542215859343	329.633406676357	2.21890154359136e-19	6.75984246178174e-17
PHACTR2	2.08934718264275	4.84795162143203	327.756233643306	2.43233471593994e-19	7.27533425671417e-17
CLIC6	-3.86544495108638	4.63429477601776	327.085190404917	2.57439489287676e-19	7.52958978310117e-17
LAMC1	1.62340313343001	8.95797818705706	326.273239218764	2.6088785948378e-19	7.52958978310117e-17
TLN2	1.79582558055821	4.42828221046536	324.506985715542	2.84676125855859e-19	8.07449473526678e-17
VAV3	2.0073494830563	5.84431158811592	323.280397532016	3.01875341992371e-19	8.41720551036694e-17
GPRC5B	1.87663527440881	5.0877859026113	322.619756171242	3.12011513691224e-19	8.55483568622387e-17
EPHB2	1.82204787291016	4.87358345950829	320.912856541714	3.39357624876977e-19	9.15208571614943e-17
NPR1	3.64661250527661	2.58674958394312	321.462555707325	3.47234233255749e-19	9.21346834079086e-17
CLN5	1.58566571634416	5.54501056802527	319.532710333727	3.63021290864379e-19	9.47946548573001e-17
ACACA	1.2914605235655	6.7149977649648	318.411903457567	3.83725327460686e-19	9.8635396282121e-17
EPHA4	2.49381355627804	2.63222349877948	315.526087904117	4.53338871486993e-19	1.13078803771334e-16
ITPR2	2.14795101165582	5.56437994180187	315.060094011413	4.53662455103522e-19	1.13078803771334e-16
LRRN1	3.24190586602591	3.11096729463175	313.266608927188	5.17807415616867e-19	1.25719919985303e-16
RBM12	1.55081147464578	5.88382930696519	312.36080943866	5.19661695884787e-19	1.25719919985303e-16
LHFPL3-AS2	3.28559184499747	-0.41128973707621	257.545958089856	5.49896705124561e-19	1.31106531826147e-16
FUT3	-5.79590372564344	6.26121608442012	309.529482432096	6.07274012610762e-19	1.42718068306566e-16
SAA2	-6.96704751902248	6.22297080755886	309.077902029224	6.60011722272787e-19	1.51378688073503e-16
CYFIP2	1.95580703447228	4.79313399666346	307.594135583866	6.62529058494453e-19	1.51378688073503e-16
MFSD2A	-2.33803343187381	4.44186125766124	306.686197307507	6.94661738203052e-19	1.56546304865458e-16
NRG1	2.72350998250417	0.439827641294104	218.646455964932	7.80628331185355e-19	1.73542117247706e-16
PLAC8	-5.81435189615495	4.1235885701304	299.933966075673	8.11524062914852e-19	1.78005098120163e-16
TMEM252	4.48126100960077	3.84033065228381	303.85364841518	8.28217555120315e-19	1.7927640788532e-16
FREM2	2.81119668199366	4.12540228930762	302.977436106414	8.42470332365101e-19	1.79993239451146e-16
NDUFA4L2	-7.5050562945825	5.56282124910792	254.984658545375	1.01238869467797e-18	2.13523159181376e-16
ZFP36L2	1.78322109539927	6.59486457419336	297.150747002258	1.13932292668853e-18	2.37253183125987e-16
CPVL	1.73672261222933	4.35552989828394	296.408591285933	1.18653272572253e-18	2.43995623385766e-16
ZHX3	1.60951384708269	4.74027729670865	295.786955072196	1.22562906076633e-18	2.48923749119344e-16
TENM3	2.33339925372939	3.09403129061539	290.997957036854	1.64241191865163e-18	3.29503883826073e-16
FGFBP1	-3.95389493191058	7.49721629277567	285.901131832605	2.08590701130054e-18	4.13436822203678e-16
CDCA7	2.53545000243233	4.87463496114865	284.63609507997	2.24088734509632e-18	4.38867115644995e-16
CGNL1	2.40944542101481	4.52253477937958	283.809205536028	2.34422748776385e-18	4.53704545896506e-16
ABCC4	2.23566765351306	3.70771894236576	282.63382627823	2.51783723653873e-18	4.78390642224032e-16
EIF4B	1.09121982804503	8.69836463827958	282.384358121908	2.52993653112217e-18	4.78390642224032e-16
MTMR10	1.45492553238398	4.56254144679989	281.154328098122	2.71077777744899e-18	5.06761422918334e-16
SERPINB6	-1.88546070267522	6.27237589614495	280.4580770329	2.81532444071646e-18	5.20392161508163e-16
