genes	logFC	logCPM	F	PValue	FDR	sig
TSSC4	1.24088917178445	4.53060947425688	96.9847369782137	3.63550335821308e-16	9.26840753808767e-15	Not Sig
PCP2	-5.08595910219032	2.00108630828717	95.3413049024982	3.6412984683501e-16	9.26962958994001e-15	Down
RP13-516M14.1	-3.30706969567706	2.2525606107616	97.0187823538695	3.69475806789163e-16	9.39201037724406e-15	Down
EIF5	1.16995935401748	7.10400506591295	96.901179714911	3.71038380848533e-16	9.41800187079581e-15	Not Sig
SLC22A18	-2.57423147524617	4.31478813940957	96.8935011073582	3.72086379686522e-16	9.43087542001972e-15	Down
ZBTB4	-1.05036990573704	6.37201690548798	96.8481467678821	3.75981339396645e-16	9.51576574223322e-15	Not Sig
GTF2H1	1.23948732494799	4.59035360060914	96.7924185208662	3.8141038847718e-16	9.63918022357255e-15	Not Sig
DBR1	1.23821714926658	3.5135400441847	96.7894294682262	3.82163445496413e-16	9.64423467809907e-15	Not Sig
SPATA5	2.11096268743569	2.32348409441	96.795581194605	3.84527134666488e-16	9.68986152357547e-15	Up
MLXIPL	-2.92587070046201	5.08252138912857	96.7533355217365	3.85131402446054e-16	9.691084265302e-15	Down
FLOT1	-1.19352840936075	7.67293763527843	96.6542770025555	3.94623799258171e-16	9.91563373409796e-15	Not Sig
BCAS2	1.26911990104372	4.38720041715014	96.613361340468	3.98902811084359e-16	1.00087298125022e-14	Not Sig
ABCD4	-1.2947515133722	6.14308226881307	96.5292318513303	4.07150892771844e-16	1.02010018220624e-14	Not Sig
CA11	-2.99916936282325	1.50620764894565	96.5899349688232	4.09914966854228e-16	1.02555196441952e-14	Down
VAPB	0.844921597723321	5.38135362526502	96.4898056915762	4.11208870430089e-16	1.02731522672778e-14	Not Sig
ACSF2	-2.6182570565176	5.0598204026487	96.376677621466	4.23121870924802e-16	1.05556497642156e-14	Down
TAMALIN	-3.34056230584594	2.21273678171069	96.4698353057754	4.24819186226154e-16	1.05828528134452e-14	Down
KIAA0100	1.34948519631398	7.13794373896679	96.249736610244	4.36630608225571e-16	1.08615756722361e-14	Not Sig
PAXIP1-DT	-1.67394863308477	3.85225103779629	96.1826413334494	4.44486396481943e-16	1.10412447034931e-14	Not Sig
MTFMT	1.20503395401717	3.59136458906841	96.1679719446982	4.46266670689368e-16	1.10696987247243e-14	Not Sig
SCFD2	2.24289056372897	3.46363266324739	96.1651389831201	4.47240867668278e-16	1.10781054693174e-14	Up
ALYREF	2.30806353518191	5.29481595694256	96.0077732636255	4.64079064477292e-16	1.14788804629149e-14	Up
KPNA6	0.851789697858056	5.92977042590079	95.9059599311962	4.75911821212106e-16	1.17548871647262e-14	Not Sig
NOP56	1.56967724996027	6.75599744668599	95.8715506873387	4.80031045091684e-16	1.18398604869997e-14	Not Sig
GINS3	1.86359464780505	2.99530211052605	95.7737521027933	4.95302374867179e-16	1.21992695097936e-14	Not Sig
ORC5	1.43016401044566	3.69025011424071	95.6186109209269	5.12189383030061e-16	1.25974026252161e-14	Not Sig
MRTO4	1.35935852571844	5.79111330247487	95.6019200112232	5.13662858015405e-16	1.2615849180384e-14	Not Sig
