genes	logFC	logCPM	F	PValue	FDR
CXCL10	4.9390345003862	5.40546753914723	454.719171580648	5.13923114895839e-23	8.45454916315144e-19
CXCL11	5.00680822012605	3.18480255053478	388.589032015095	9.55443106241976e-22	7.85899727039337e-18
OAS1	3.18962664351011	6.13296581211842	370.455356504999	3.44788318760154e-20	1.8907042106411e-16
BCL2L15	2.59127913757653	5.00765998392785	328.522362709424	2.36540182432681e-19	9.47120152088968e-16
OAS3	2.81330721826972	7.16821747969594	320.82042731175	3.40962453436729e-19	9.47120152088968e-16
IFIT1	4.07453936490178	6.30404230145481	317.004536723328	3.45433159840363e-19	9.47120152088968e-16
OAS2	3.87093446567704	6.32019418810629	294.521684684565	4.1927308875541e-19	9.85351654730751e-16
ISG15	3.6042010382755	7.40295822186352	290.197070618034	1.65749662923757e-18	3.40843463094841e-15
OASL	3.14828259074819	3.55310817594557	217.811606253065	1.64982188090055e-17	3.01569108474388e-14
IFI6	3.17992843524284	8.71051883782247	224.369185436872	8.75886518763793e-17	1.44092091201832e-13
MX1	3.20425672293866	7.6186334929943	220.793992873442	1.11757207554837e-16	1.67137983771329e-13
IFI44	2.86298790347675	5.67425214050991	214.410472417734	1.74756582526275e-16	2.23524213509691e-13
IFI27	2.68387436843958	8.42560693937233	213.929445919232	1.81899021454161e-16	2.23524213509691e-13
EPSTI1	2.80862757158818	4.27614036008745	213.437403184926	1.90221809563897e-16	2.23524213509691e-13
HERC5	2.29140056681025	2.90600629789287	200.369053531669	5.16206340641388e-16	5.66140700659432e-13
MX2	3.60198775856218	3.99027368701581	185.951740920732	6.37793847676758e-16	6.55771661758147e-13
USP18	2.369564835203	5.10540228210775	193.77448718885	7.95634857113278e-16	7.69940531433561e-13
GLIPR1	2.77130960233104	1.74433247331546	167.73159386384	1.47468670517661e-15	1.34778172149225e-12
RSAD2	2.99260057936261	4.43877452413648	179.704911090877	2.11277185369832e-15	1.73809704015146e-12
HLA-DPA1	2.34575891590046	1.05367815423208	158.852133004581	2.11305943730042e-15	1.73809704015146e-12
LINC00973	2.88820944154496	-0.444582500129051	104.941851769069	4.329045662038e-15	3.39129191362796e-12
NLRC5	2.09237699256286	3.07216772148508	172.574680936804	4.56969422310756e-15	3.41709271201557e-12
IFI44L	3.07401414984283	5.81060158902581	167.221584555574	7.03033849472951e-15	5.02852602507805e-12
CMPK2	2.69583276112249	4.06609826494777	165.34060284872	8.39369578286178e-15	5.75352872182747e-12
RP11-817J15.2	2.34013568799753	-0.431122274631721	113.902457396593	1.13439978598306e-14	6.9770014568617e-12
CCL5	2.80972760075911	1.13507644456739	162.636749686724	1.14294475439287e-14	6.9770014568617e-12
GBP5	2.33477287412731	3.81284959227678	154.901204715818	1.145091722906e-14	6.9770014568617e-12
IFIT3	2.88485674785667	5.92400029290339	160.116358046061	1.30397782559483e-14	7.66133543173593e-12
BATF2	2.8427327001857	2.0657744317662	143.304268879892	1.48193303320845e-14	8.40664838941799e-12
IFIH1	1.76987075253622	4.88320263474453	157.808122901191	1.60625045874157e-14	8.80814209891918e-12
ZBP1	4.55424303163437	-0.967114207024792	152.83813127417	2.25408804704446e-14	1.19619362780414e-11
GPATCH4	1.37644634385097	4.81316806809508	153.260944512098	2.4454744263025e-14	1.25720311834695e-11
CASP1	2.90814044568752	-0.955732363909524	141.742346343075	3.04965133133777e-14	1.52029739551023e-11
PARP12	1.61511645687818	5.06850580869759	149.708850626616	3.41639758508382e-14	1.653034019771e-11
DLX6	-1.21309411623401	3.76261375789241	145.492826380733	5.13828761736774e-14	2.41514198838048e-11
HERC6	2.18391229260324	4.51591204637667	144.203548599467	5.82959084207119e-14	2.66396108174759e-11
H19	-2.35612918562761	10.8814078659439	140.640447515267	8.27968154957512e-14	3.68132543708271e-11
STAT1	1.76647519460733	7.01022923118763	139.601903024763	9.19090416700063e-14	3.97893590661388e-11
DDX60	2.05001286071231	4.86121538129154	137.909164946377	1.09271127314645e-13	4.6092802960339e-11
DKK1	2.52452929527942	5.03572388839744	136.586555920903	1.28362893174946e-13	5.2792448890526e-11
RP3-325F22.5	1.87016138151342	0.287517757133469	114.492398970891	1.85715512136088e-13	7.4517216832946e-11
PAX2	-2.21160217139504	5.1581456071573	131.176467036693	2.20872082169026e-13	8.65134910419678e-11
IFIT5	1.63013883818214	4.53787664972172	130.73139476939	2.30424383680603e-13	8.66421033029541e-11
DDX58	2.29817307424464	4.93419531363956	130.684388404825	2.31733787935687e-13	8.66421033029541e-11
STEAP1	1.6415850512085	4.57451675480482	129.63704194214	2.59122627713205e-13	9.47294744113319e-11
HCP5	1.91249405611293	4.21982936561611	129.360726413638	2.6764204832153e-13	9.57169421073367e-11
PARP9	1.62415104740148	6.11521102359196	125.588687288885	4.01137235872132e-13	1.38270040119383e-10
CTSE	1.65964936810657	5.87210342417554	125.574755772192	4.03438205928538e-13	1.38270040119383e-10
TRIM14	1.65487170518319	4.74367753489501	125.119954599386	4.22680864207345e-13	1.41908630552552e-10
C6orf15	2.1347454873742	2.48829046444779	115.55069507024	4.75277579497003e-13	1.56375829206104e-10
CXorf49	2.94001910971721	1.8280578430317	109.782920645541	6.77614897566022e-13	2.18543467189542e-10
SAMD9L	2.73090064046355	3.78369405034322	120.271353635209	6.90794498441199e-13	2.18543467189542e-10
TAP2	1.39143614338075	6.00878959835204	120.535085549133	7.04697369291721e-13	2.18735404192794e-10
EDAR	2.11811142320524	2.07395172041662	117.707945790047	1.03433173574723e-12	3.10234060231758e-10
FEN1	1.56565036192288	6.13019044312631	117.0888968613	1.04615392005456e-12	3.10234060231758e-10
BST2	2.78650213744827	5.65031796932352	116.872931352872	1.05605175205024e-12	3.10234060231758e-10
MYD88	1.16417489066764	5.46954985337044	116.719226079229	1.09187813555982e-12	3.15131354527975e-10
IFI35	2.04855932521678	4.62176342900468	116.032110470022	1.18452911885791e-12	3.35977388522956e-10
KLK7	1.99313482174053	4.60441160575011	115.506963435313	1.2606600144571e-12	3.5151047284464e-10
CA2	1.81321041449996	2.07466967990454	114.571539012418	1.55383469182075e-12	4.26035575252385e-10
KBTBD8	2.41528335645486	0.275089074907406	82.2584841138486	1.62415697445123e-12	4.38016498142578e-10
CLSPN	1.93209809888981	4.01301959449729	113.129312087739	1.71318214041173e-12	4.54573538579247e-10
FGFBP1	1.58858782743889	7.49721629277567	111.683966597058	1.97961846148985e-12	5.16931798570946e-10
SAA2	2.05955301244097	6.22297080755886	111.767696090582	2.03089318020614e-12	5.220347454308e-10
RAB5IF	0.886230108099417	5.96739378500783	109.724459554772	2.50917115646265e-12	6.35051918384108e-10
LRR1	1.3688333566005	3.22964842732132	108.930449449174	2.78006868517647e-12	6.92953180906639e-10
CYCS	1.1133353286586	6.5893503638119	107.71144611471	3.21255900038125e-12	7.88803106198088e-10
TMEM104	0.929884981652788	3.86681232583953	104.926655888817	4.55400643433905e-12	1.10173470369576e-09
CEACAM6	1.88842053501862	5.48642137234005	104.596279722019	4.78988902173636e-12	1.14200672893601e-09
HLA-DRA	1.99136497065686	4.40155500449818	103.987622930685	5.13374318948393e-12	1.20232666992282e-09
SP110	1.48977894378448	4.54518905198389	103.889582335034	5.18905802471096e-12	1.20232666992282e-09
CASC19	2.5635318365618	2.8319338851814	103.154727196008	6.37120696988012e-12	1.45573230363191e-09
SLC52A2	0.882738527721398	6.00598496616512	101.918621903238	6.67341872019862e-12	1.50389604610942e-09
PDCL3	0.926927304144781	4.76299085357184	100.927126756757	7.58912266857884e-12	1.68714401379447e-09
DTX3L	1.22742252659281	6.01454090916249	100.387962574232	8.13828819161971e-12	1.78510638720448e-09
NCEH1	1.01266492761134	4.62645038256864	98.9892308600308	9.78142037944013e-12	2.1172914034496e-09
GALNT5	2.24050510278408	2.16316015030523	90.6967964439108	1.02737107044938e-11	2.19497162077439e-09
PIGR	1.66176543829144	7.73358288759918	98.2916425105699	1.07187392137093e-11	2.24117016793088e-09
POP1	1.20844690228336	3.40433115020491	98.2934262020091	1.07624122099896e-11	2.24117016793088e-09
EIF2AK2	1.12953861337716	6.32142731821317	97.8067427922902	1.14309617896316e-11	2.35063440501538e-09
ULK1	-0.999517308757383	5.65275086007599	97.5708778478218	1.17967818866386e-11	2.39591183724805e-09
NAPSB	2.19007393999294	5.77542903623176	92.9620915392892	1.33102164054268e-11	2.65001483653732e-09
CXCL5	2.1250184885927	9.76713652917818	96.6332562860407	1.33700827568292e-11	2.65001483653732e-09
YKT6	0.719167577952543	6.37994048303459	95.9615534757373	1.46341731100232e-11	2.86603311705943e-09
EHD4	0.889625256240963	6.23356713793103	95.6589855923313	1.52443024257655e-11	2.95040022595609e-09
RAP1GAP	-1.61475508804442	4.68714117056019	95.4121041788827	1.5772887196339e-11	3.0172065961276e-09
IL18	1.01868169397475	4.80902193594243	95.2799782394131	1.60518152975761e-11	3.03526912023477e-09
LGALS9	1.64491722146196	6.13095348890469	94.6931095640675	1.73811667180626e-11	3.24929060998691e-09
ETV7	2.23072205531424	1.9426065516694	90.6170828980721	1.79976338668665e-11	3.32673117689687e-09
SEMA4A	-1.25634387520745	3.93743390272558	93.8858275473534	1.9423959735906e-11	3.51451094396781e-09
SAMD9	2.14072937594565	4.11549035746081	93.8887885657845	1.9440793623553e-11	3.51451094396781e-09
CDR2L	0.903701706513416	6.3954884373861	93.5632629114248	2.0282723635458e-11	3.62685963616217e-09
TNFRSF11B	1.9984271832308	0.947602863410029	81.9777266447878	2.12507319271531e-11	3.7590945261677e-09
UMPS	0.927170528911808	5.26329575231761	92.9139762410246	2.21861433305574e-11	3.88281110564894e-09
HNRNPA1P21	2.1317563544649	-1.04811681975423	74.6725102639606	2.26028152941821e-11	3.91409383583779e-09
NMU	1.55176985526973	0.900129610028043	93.3559373164302	2.32435462188644e-11	3.98312061298477e-09
APLP1	-1.31180388743527	5.13220573388324	92.4116327473085	2.37847218069826e-11	4.03383977780072e-09
ABCA2	-1.72037356608167	6.14619518685605	91.7928350164418	2.5916176412644e-11	4.35047977718781e-09
