genes	logFC	logCPM	F	PValue	FDR
OAS3	2.97237702288139	7.16821747969594	356.045128986067	6.5144063204423e-20	4.92761183671936e-16
CXCL10	4.20535753689919	5.40546753914723	300.411976361038	7.49328645935182e-20	4.92761183671936e-16
CXCL11	4.59689556293451	3.18480255053478	299.171576309312	8.98597988581733e-20	4.92761183671936e-16
OAS1	3.06969595805122	6.13296581211842	330.689562856627	2.10664122078906e-19	8.6640886808002e-16
IFI27	3.25186734777339	8.42560693937233	322.424464036235	3.19160552666119e-19	1.01001018006576e-15
IFI6	3.727160696116	8.71051883782247	319.270880255865	3.68370377508634e-19	1.01001018006576e-15
ISG15	3.5302385503419	7.40295822186352	280.147985984328	2.8746203381583e-18	6.75576845472031e-15
OAS2	3.65833667007366	6.32019418810629	255.794315228116	4.12712140361699e-18	8.48690927636288e-15
IFIT1	3.80883132662311	6.30404230145481	268.267066677349	4.79594006399207e-18	8.76644555474818e-15
BCL2L15	2.2982055199765	5.00765998392785	246.677418999613	2.07350497905173e-17	3.41112304103801e-14
OASL	2.94335122284178	3.55310817594557	178.854337316986	4.09180184102174e-16	6.11947564424079e-13
EPSTI1	2.73252776777748	4.27614036008745	196.762696419299	6.43930594468954e-16	8.59177000996448e-13
IFI44	2.75839490319712	5.67425214050991	195.625996981976	6.91363117093702e-16	8.59177000996448e-13
NLRC5	2.22686080085742	3.07216772148508	195.435263194445	7.3117002090756e-16	8.59177000996448e-13
MX1	3.04644860177814	7.6186334929943	192.169863220603	8.98664600687521e-16	9.85595423060694e-13
KLK7	2.45175083245954	4.60441160575011	185.4413860145	1.52801034000681e-15	1.57108113146575e-12
IFI44L	3.15352742784476	5.81060158902581	175.014623589948	3.61759507579386e-15	3.33296790000346e-12
BST2	3.31444621108495	5.65031796932352	174.506390426602	3.64679485745926e-15	3.33296790000346e-12
HCP5	2.15191334917105	4.21982936561611	165.678692968373	7.98043451619884e-15	6.73977895346045e-12
HLA-DPA1	2.26792339842817	1.05367815423208	145.747854079054	8.19376202475284e-15	6.73977895346045e-12
NAPSB	2.75334470450668	5.77542903623176	152.549480312052	1.21889358738878e-14	9.54858019339657e-12
HERC5	2.08255765754689	2.90600629789287	160.161743639923	1.37565841119488e-14	1.02867984193486e-11
USP18	2.16701688238537	5.10540228210775	159.005138078181	1.44280717964576e-14	1.03198351792836e-11
GBP5	2.27739927339149	3.81284959227678	146.270069372204	2.6637538046898e-14	1.825892243373e-11
RP11-817J15.2	2.2767660591643	-0.431122274631721	105.610977121504	4.32689302495715e-14	2.8472686861428e-11
DDX60	2.10998755317287	4.86121538129154	146.706852517786	4.56187952725799e-14	2.88644154242005e-11
INHBB	2.23183272820485	7.21204099873718	145.811093959117	4.96870375940236e-14	3.02741279799734e-11
PAX2	-2.36419539818682	5.1581456071573	144.838622994044	5.49810757475112e-14	3.2303345611511e-11
GLIPR1	2.51544086222386	1.74433247331546	131.268448031299	6.26105858926729e-14	3.5517474086909e-11
MX2	3.16239471560025	3.99027368701581	133.09875035507	9.39985356551929e-14	5.07537731740824e-11
ID3	2.44714774551742	1.34386867550262	137.541485938458	9.56395944560547e-14	5.07537731740824e-11
IFIT3	2.6922965089342	5.92400029290339	134.156872651704	1.60836312671343e-13	8.26849431173833e-11
LRR1	1.49835657139555	3.22964842732132	132.900680917645	1.84270128176468e-13	9.13207582136662e-11
STAT1	1.73407260348117	7.01022923118763	132.610540741755	1.88736598338378e-13	9.13207582136662e-11
RSAD2	2.62622974345185	4.43877452413648	131.27751743741	1.95129822578724e-13	9.17165917497883e-11
STEAP1	1.64760500015509	4.57451675480482	130.708174621929	2.3115558360589e-13	1.05631680719458e-10
H19	-2.24982505582372	10.8814078659439	129.937770449932	2.50499958038939e-13	1.11377697559421e-10
IFIT5	1.61348607935311	4.53787664972172	127.343771131839	3.31517202804528e-13	1.43520776403613e-10
DLX6	-1.11703878972433	3.76261375789241	125.679631140203	3.98031584670289e-13	1.67897887164383e-10
LPL	1.89471163659588	0.435838735659141	100.099794162477	4.30702585813525e-13	1.77137205980457e-10
PARP12	1.49097916511446	5.06850580869759	123.637591921549	4.97830622358228e-13	1.99751501668664e-10
IFIH1	1.58672840562026	4.88320263474453	122.876550200698	5.41994645043922e-13	2.12294140609942e-10
LINC00973	2.63101028254535	-0.444582500129051	80.6939115993656	6.37123907569336e-13	2.4375175356798e-10
MYBL1	1.32959179722063	1.83249252495222	120.454895165733	7.29112925849293e-13	2.68692784958464e-10
HERC6	2.02552033389499	4.51591204637667	120.183003928792	7.34981175802739e-13	2.68692784958464e-10
TRIM14	1.63199331575631	4.74367753489501	119.210211188263	8.19972715165723e-13	2.93117689131298e-10
CLSPN	1.98806524944107	4.01301959449729	119.278805440106	8.37428204314084e-13	2.93117689131298e-10
PARP9	1.58639185617398	6.11521102359196	117.548588769125	9.91716678569641e-13	3.39890230815607e-10
CMPK2	2.32703520403349	4.06609826494777	117.316588189294	1.03923669432059e-12	3.47999841535795e-10
PELI2	-2.28094684813225	3.13487110520499	117.057766216919	1.05768598120417e-12	3.47999841535795e-10
CASC19	2.70848163060918	2.8319338851814	115.170602342332	1.47972786996265e-12	4.77313788014814e-10
CASP1	2.6326904123916	-0.955732363909524	106.516772705958	1.84597991317002e-12	5.84004145222308e-10
TAP2	1.34973838838517	6.00878959835204	111.057011446275	2.13490327721187e-12	6.62665921007782e-10
APOBEC3A	3.12145061387501	-0.605390113893289	87.8358873866168	2.76383054294408e-12	8.41995856703204e-10
BATF2	2.48947588152461	2.0657744317662	100.185329566389	2.84279546535336e-12	8.50305967282331e-10
PALM	-2.19477360475137	4.51612338508068	107.953708311618	3.12315462286995e-12	9.17482441086314e-10
ATP2B2	2.60497017132166	1.64095567322828	97.7817953859879	3.32415433833974e-12	9.5939759684258e-10
CTSE	1.54416162076611	5.87210342417554	105.150724224451	4.43755337781747e-12	1.25865845893923e-09
DDX58	2.09973850304512	4.93419531363956	104.432230626856	4.84751383694361e-12	1.35163474799253e-09
SULT1A1	-1.5770594418007	5.60707407760305	103.958583559026	5.14290496923147e-12	1.41009882748045e-09
ZBP1	4.08653170620616	-0.967114207024792	102.67475098858	5.55317256131768e-12	1.49762691485635e-09
SAMD9L	2.56666087890775	3.78369405034322	102.846028617031	5.67147095268249e-12	1.50486078455774e-09
GPATCH4	1.14755041102956	4.81316806809508	102.751793177305	6.00268974099888e-12	1.56746426871703e-09
RBBP8	1.0299796464091	5.86213949550053	101.035292510108	7.4812911999644e-12	1.90490001913773e-09
EIF2AK2	1.1467449566077	6.32142731821317	100.988282907156	7.52650302376468e-12	1.90490001913773e-09
DHX37	0.847922824067374	5.12260382443417	100.714851650879	7.80077200067815e-12	1.94440151792661e-09
YARS2	0.697556548906411	4.72738328382001	100.529410608638	7.99178108575832e-12	1.96228045734045e-09
NUP35	0.965063967202502	3.6176656372383	100.289793086623	8.25635243559155e-12	1.99743020467524e-09
FEN1	1.44804300892781	6.13019044312631	98.8851451010186	9.91302816559623e-12	2.36346704858295e-09
CYCS	1.06725139314885	6.5893503638119	98.3744314101133	1.06026935051734e-11	2.49178444076582e-09
POP1	1.21233013399654	3.40433115020491	98.2447531020624	1.08320089420325e-11	2.5098222409208e-09
PITPNC1	-0.951064604583163	6.16133392642628	96.7899247465242	1.30922761493443e-11	2.99140326295643e-09
RP3-325F22.5	1.66253516470078	0.287517757133469	85.5171187835078	1.33903905427321e-11	3.01760705230802e-09
TMEM104	0.885255321733928	3.86681232583953	94.2925085312761	1.8377548030084e-11	4.0855276032826e-09
LGALS9	1.64510455582298	6.13095348890469	93.6450037196618	2.00593336690489e-11	4.39994797586031e-09
CCDC86	1.12181072621721	5.15314104773175	93.011584078922	2.18913407229184e-11	4.7386111346412e-09
FUT6	2.21727689628748	1.28967697010668	80.695856546193	2.25128092530865e-11	4.74860383914207e-09
LCP1	1.21781233424504	7.23696138168442	92.8058775750828	2.25148075772343e-11	4.74860383914207e-09
ST7	0.745016207809321	4.29029032974046	90.870324644063	2.9493376366509e-11	6.14171562791696e-09
TXNDC5	0.731876866117306	7.29202758050175	90.7012602061665	3.01884296258968e-11	6.20787319719535e-09
RRM2	1.63105368616833	6.15151988777554	90.290431858728	3.19943642877257e-11	6.49801588762192e-09
MCM6	1.41576990539662	5.58705896071002	89.2750651605201	3.69484144974782e-11	7.4126630109514e-09
FAM167A	-1.32933802770373	3.47188697565466	89.0830163156576	3.80245961511546e-11	7.53665820822464e-09
HLA-DRA	1.84827810658184	4.40155500449818	88.9729480675332	3.86361681982031e-11	7.56670955986475e-09
GPR141	2.46420320670035	1.75815496842561	81.2829455500912	3.98853541549598e-11	7.71945836709699e-09
ZBED6CL	1.74846101277959	4.495451556354	87.7279977033302	4.61526874349837e-11	8.8285797789874e-09
CDR2L	0.876984502864854	6.3954884373861	87.5600082783579	4.72132623335305e-11	8.92764803044725e-09
CGAS	1.0833745934563	2.57043908894218	87.4892499893314	4.79437871930118e-11	8.96195676123149e-09
MYD88	1.01770299201519	5.46954985337044	87.3416655395444	4.87334717016389e-11	8.96195676123149e-09
DSCC1	1.60699027874124	3.37924465189305	87.2946983468727	4.94947407388874e-11	8.96195676123149e-09
PNPT1	1.14818546414543	5.44748928790051	87.2232865499084	4.95737684804611e-11	8.96195676123149e-09
PDSS1	1.12534069468325	2.73749275745421	87.1364071466286	5.04564870020152e-11	9.02238769206688e-09
EDAR	1.86893319872095	2.07395172041662	86.6475361169979	5.64350441325662e-11	9.98293452714889e-09
PIGR	1.58022958071419	7.73358288759918	85.7150812376556	6.17315363566401e-11	1.08036755808839e-08
IDI1	0.988086434932588	5.97367894407103	85.5886646540797	6.28905800319382e-11	1.08906624432149e-08
SYT17	-1.30381305038594	3.3731141690276	85.2136964473366	6.65693423301851e-11	1.14076276111862e-08
DTX3L	1.14041930468073	6.01454090916249	84.8470965027666	7.01346835179219e-11	1.18946977170447e-08
MCM4	1.3090826116465	6.60806992220423	84.7463600780565	7.11879666868536e-11	1.19501351016881e-08
HLA-DRB5	2.06175782069103	1.67942183226489	84.8153396818606	7.40328793208913e-11	1.2302170683919e-08
TLCD2	-1.34316217188902	2.56723836390223	84.0641047958119	7.91389818416626e-11	1.30191539027719e-08
MARS2	1.32399486775477	3.12032114374865	83.4612503093282	8.72757501976047e-11	1.42155778861465e-08
CPXM2	-2.10363458127562	4.56913254872231	83.2559699283633	8.91292767830674e-11	1.43751542388063e-08
GINS1	1.21828439853379	4.13257108845458	82.9529198702757	9.31141370720762e-11	1.48720453298323e-08
OLFM4	4.73749938545784	1.94212062368181	78.833673931528	9.84142728304201e-11	1.55674346378196e-08
SLC35F6	0.985099140194242	5.79807355554073	81.9870866106265	1.07501999761992e-10	1.68430037912812e-08
STIL	1.04911066728526	4.30785061634112	81.6150050929973	1.13798324696949e-10	1.76612852791463e-08
FAM111B	1.8904165379297	3.83321443887883	81.4789574408773	1.1844155916086e-10	1.82101129883674e-08
SOX12	-1.05758808365589	5.94884445404929	81.2138663655918	1.2087755136202e-10	1.83305856442903e-08
AXIN2	1.13669613499994	3.38014583350884	81.1946235166648	1.21500808979231e-10	1.83305856442903e-08
NELL2	-1.54665142314777	5.81259739572691	81.1238760184052	1.22567893798063e-10	1.83305856442903e-08
ALDH1B1	1.22032574831123	4.68137848325053	80.9855616177337	1.25252171384035e-10	1.85632745174663e-08
PGAM5	0.90896800419228	5.65426307062215	80.8697985021025	1.27405763880208e-10	1.87138591213687e-08
CEP85	0.741569905032171	4.11137288109052	79.5884372746694	1.55164667385639e-10	2.258950392178e-08
MCM3	1.09795553260444	6.57038709394962	79.4932365017813	1.57383299884871e-10	2.25951760487722e-08
SP110	1.32169413389328	4.54518905198389	79.4731847753054	1.57950595441542e-10	2.25951760487722e-08
BRCA2	1.21496359682035	3.54882115351413	79.4141651312141	1.59760622953869e-10	2.26570862777078e-08
CCL5	2.14627355997295	1.13507644456739	78.6720320924885	1.88317821352449e-10	2.63465375639022e-08
PLK4	1.16819255976101	4.73994325123699	78.3176465928755	1.88978872563398e-10	2.63465375639022e-08
LINC02574	2.91047861837717	-0.308762040857047	68.6260744191732	1.98164631189117e-10	2.73160263701213e-08
IFI35	1.71472558828354	4.62176342900468	77.9120963237378	2.01519918597677e-10	2.73160263701213e-08
CHAC2	1.63835809314823	1.62944181896796	78.3834325923607	2.02311124293117e-10	2.73160263701213e-08
MICB	1.37833117475351	3.31706702490914	77.8960431799176	2.0257462872499e-10	2.73160263701213e-08
WNT7B	-1.13650303621938	4.09010786210069	77.790610300505	2.05311654295756e-10	2.74600164619469e-08
TMEM8B	-1.04442652511539	4.25477191654353	77.5043419029033	2.14726144885514e-10	2.82632773270658e-08
FBXO32	-1.95293981323967	3.09739203020212	77.7444303415736	2.16488495342079e-10	2.82632773270658e-08
CDC25A	1.5968213883857	3.93954337022844	77.4336766466516	2.17839054651547e-10	2.82632773270658e-08
ECHDC1	0.504762008808933	5.42256952816894	77.3992205911163	2.18189545956924e-10	2.82632773270658e-08
BCAM	-1.28230223389631	8.70116915041952	77.3168953932426	2.21022036630617e-10	2.84065119110178e-08
RBM12	0.813829406515371	5.88382930696519	76.9852572208307	2.32928052605239e-10	2.97046464605333e-08
IGF2BP2	-0.594692768536071	6.87878372738762	76.8865336563382	2.36562509585392e-10	2.99360757322253e-08
PDCL3	0.815714500341761	4.76299085357184	76.8389742694362	2.38415313846045e-10	2.99402315120709e-08
SMOC2	-1.48221481427428	4.45471879577732	76.6980494154667	2.43994164645776e-10	3.03618363887201e-08
